epoch,layer,correctness
1,1,0.0
11,1,0.21
21,1,0.29
31,1,0.0
41,1,0.24
51,1,0.21
61,1,0.2
71,1,0.13
81,1,0.29
91,1,0.26
101,1,0.26
111,1,0.32
121,1,0.19
131,1,0.31
141,1,0.26
151,1,0.25
161,1,0.25
171,1,0.25
181,1,0.13
191,1,0.34
201,1,0.21
211,1,0.34
221,1,0.26
231,1,0.25
241,1,0.21
251,1,0.22
261,1,0.24
271,1,0.25
281,1,0.22
291,1,0.18
301,1,0.21
311,1,0.2
321,1,0.23
331,1,0.28
341,1,0.28
351,1,0.19
361,1,0.2
371,1,0.18
381,1,0.2
391,1,0.2
401,1,0.24
411,1,0.25
421,1,0.24
431,1,0.23
441,1,0.23
451,1,0.21
461,1,0.2
471,1,0.27
481,1,0.19
491,1,0.18
501,1,0.33
511,1,0.17
521,1,0.19
531,1,0.22
541,1,0.3
551,1,0.23
561,1,0.21
571,1,0.21
581,1,0.21
591,1,0.27
601,1,0.24
611,1,0.26
621,1,0.32
631,1,0.32
641,1,0.26
651,1,0.28
661,1,0.19
671,1,0.3
681,1,0.37
691,1,0.27
701,1,0.29
711,1,0.23
721,1,0.24
731,1,0.2
741,1,0.29
751,1,0.22
761,1,0.23
771,1,0.27
781,1,0.16
791,1,0.23
801,1,0.24
811,1,0.3
821,1,0.2
831,1,0.24
841,1,0.27
851,1,0.26
861,1,0.3
871,1,0.23
881,1,0.18
891,1,0.29
901,1,0.21
911,1,0.27
921,1,0.29
931,1,0.22
941,1,0.29
951,1,0.28
961,1,0.23
971,1,0.25
981,1,0.29
991,1,0.25
1001,1,0.19
1,2,0.0
11,2,0.0
21,2,0.28
31,2,0.49
41,2,0.49
51,2,0.54
61,2,0.51
71,2,0.47
81,2,0.48
91,2,0.45
101,2,0.46
111,2,0.38
121,2,0.78
131,2,0.73
141,2,0.78
151,2,0.72
161,2,0.75
171,2,0.75
181,2,0.76
191,2,0.77
201,2,0.74
211,2,0.77
221,2,0.77
231,2,0.7
241,2,0.77
251,2,0.7
261,2,0.82
271,2,0.78
281,2,0.74
291,2,0.7
301,2,0.76
311,2,0.8
321,2,0.8
331,2,0.81
341,2,0.71
351,2,0.71
361,2,0.76
371,2,0.71
381,2,0.78
391,2,0.71
401,2,0.73
411,2,0.72
421,2,0.74
431,2,0.74
441,2,0.76
451,2,1.0
461,2,1.0
471,2,1.0
481,2,1.0
491,2,1.0
501,2,1.0
511,2,1.0
521,2,1.0
531,2,1.0
541,2,1.0
551,2,1.0
561,2,1.0
571,2,1.0
581,2,1.0
591,2,1.0
601,2,1.0
611,2,1.0
621,2,1.0
631,2,1.0
641,2,1.0
651,2,1.0
661,2,1.0
671,2,1.0
681,2,1.0
691,2,1.0
701,2,1.0
711,2,1.0
721,2,1.0
731,2,1.0
741,2,1.0
751,2,1.0
761,2,1.0
771,2,1.0
781,2,1.0
791,2,1.0
801,2,1.0
811,2,1.0
821,2,1.0
831,2,1.0
841,2,1.0
851,2,1.0
861,2,1.0
871,2,1.0
881,2,1.0
891,2,1.0
901,2,1.0
911,2,1.0
921,2,1.0
931,2,1.0
941,2,1.0
951,2,1.0
961,2,1.0
971,2,1.0
981,2,1.0
991,2,1.0
1001,2,1.0
1,3,0.0
11,3,0.0
21,3,0.25
31,3,0.2
41,3,0.23
51,3,0.23
61,3,0.24
71,3,0.51
81,3,0.57
91,3,0.46
101,3,0.49
111,3,0.47
121,3,0.52
131,3,0.52
141,3,0.57
151,3,0.39
161,3,0.5
171,3,0.58
181,3,0.23
191,3,0.24
201,3,0.2
211,3,0.2
221,3,0.29
231,3,0.18
241,3,0.22
251,3,0.15
261,3,0.23
271,3,0.26
281,3,0.26
291,3,0.27
301,3,0.22
311,3,0.26
321,3,0.22
331,3,0.2
341,3,0.31
351,3,0.24
361,3,0.24
371,3,0.3
381,3,0.23
391,3,0.23
401,3,0.28
411,3,0.28
421,3,0.21
431,3,0.49
441,3,0.48
451,3,0.48
461,3,0.53
471,3,0.5
481,3,0.53
491,3,0.49
501,3,0.48
511,3,0.41
521,3,0.55
531,3,0.46
541,3,0.4
551,3,0.48
561,3,0.49
571,3,0.55
581,3,0.55
591,3,0.56
601,3,0.56
611,3,0.54
621,3,0.53
631,3,0.57
641,3,0.46
651,3,0.48
661,3,0.41
671,3,0.55
681,3,0.48
691,3,0.49
701,3,0.49
711,3,0.59
721,3,0.46
731,3,0.5
741,3,0.49
751,3,0.48
761,3,0.22
771,3,0.23
781,3,0.2
791,3,0.22
801,3,0.24
811,3,0.28
821,3,0.22
831,3,0.22
841,3,0.22
851,3,0.25
861,3,0.24
871,3,0.3
881,3,0.21
891,3,0.22
901,3,0.21
911,3,0.21
921,3,0.27
931,3,0.31
941,3,0.25
951,3,0.28
961,3,0.19
971,3,0.27
981,3,0.25
991,3,0.18
1001,3,0.24
1,4,0.0
11,4,0.0
21,4,0.45
31,4,0.52
41,4,0.57
51,4,0.46
61,4,0.57
71,4,0.58
81,4,0.49
91,4,0.47
101,4,0.47
111,4,0.44
121,4,0.49
131,4,0.48
141,4,0.47
151,4,0.48
161,4,0.53
171,4,0.45
181,4,0.49
191,4,0.44
201,4,0.48
211,4,0.46
221,4,0.51
231,4,0.48
241,4,0.5
251,4,0.51
261,4,0.48
271,4,0.45
281,4,0.53
291,4,0.47
301,4,0.55
311,4,0.48
321,4,0.5
331,4,0.47
341,4,0.52
351,4,0.48
361,4,0.52
371,4,0.49
381,4,0.54
391,4,0.51
401,4,0.45
