layer,neuron,time
1,1,0.14400815963745117
1,2,0.14200806617736816
1,3,0.14300823211669922
1,4,0.14500832557678223
1,5,0.14400815963745117
1,6,0.14400815963745117
1,7,0.14500856399536133
1,8,0.14600825309753418
1,9,0.14500832557678223
1,10,0.14400815963745117
2,1,0.26001501083374023
2,2,0.35502028465270996
2,3,0.44902563095092773
2,4,0.5410311222076416
2,5,0.6310360431671143
2,6,0.719041109085083
2,7,0.8100461959838867
2,8,0.9090518951416016
2,9,1.0280587673187256
2,10,1.1210641860961914
3,1,0.3930225372314453
3,2,0.5870335102081299
3,3,0.7610435485839844
3,4,0.9580550193786621
3,5,1.1690669059753418
3,6,1.3980801105499268
3,7,1.6360933780670166
3,8,1.8771073818206787
3,9,2.144122838973999
3,10,2.4691412448883057
4,1,0.4840278625488281
4,2,0.7600433826446533
4,3,1.058060646057129
4,4,1.3720781803131104
4,5,1.7130980491638184
4,6,2.0931198596954346
4,7,2.4731414318084717
4,8,2.9201672077178955
4,9,3.322190046310425
4,10,4.05623197555542
5,1,0.603034496307373
5,2,0.9680554866790771
5,3,1.3760788440704346
5,4,1.810103178024292
5,5,2.272130012512207
5,6,2.765158176422119
5,7,3.3091890811920166
5,8,3.8552207946777344
5,9,4.468255519866943
5,10,5.108292102813721
6,1,0.713040828704834
6,2,1.1670665740966797
6,3,1.6790962219238281
6,4,2.2211267948150635
6,5,2.879164695739746
6,6,3.451197385787964
6,7,4.182239294052124
6,8,4.928282022476196
6,9,5.583319425582886
6,10,6.413366794586182
7,1,0.8170466423034668
7,2,1.3680782318115234
7,3,1.9761130809783936
7,4,2.619149923324585
7,5,3.341190814971924
7,6,4.103234767913818
7,7,4.931282043457031
7,8,5.794331312179565
7,9,6.786388397216797
7,10,7.786445140838623
8,1,0.9260532855987549
8,2,1.564089298248291
8,3,2.282130718231201
8,4,3.0481743812561035
8,5,3.8852219581604004
8,6,4.8302764892578125
8,7,5.76332950592041
8,8,6.785388231277466
8,9,7.883450984954834
8,10,9.453540802001953
9,1,1.0650608539581299
9,2,1.782102108001709
9,3,2.6051487922668457
9,4,3.4771993160247803
9,5,4.631264686584473
9,6,5.51731538772583
9,7,6.814389944076538
9,8,7.971456050872803
9,9,9.329533576965332
9,10,10.959627151489258
10,1,1.1460654735565186
10,2,2.041116714477539
10,3,2.9041662216186523
10,4,3.8982229232788086
10,5,4.99228572845459
10,6,6.19335412979126
10,7,7.435425281524658
10,8,8.83050537109375
10,9,10.301589250564575
10,10,11.973685026168823
