epoch,learning_rate,correctness
1,0.1,0.0
11,0.1,0.0
21,0.1,0.12380952380952381
31,0.1,0.6
41,0.1,0.6476190476190476
51,0.1,0.6571428571428571
61,0.1,0.6952380952380952
71,0.1,0.7714285714285715
81,0.1,0.8476190476190476
91,0.1,0.8857142857142857
101,0.1,0.9142857142857143
1,0.2,0.0
11,0.2,0.2
21,0.2,0.638095238095238
31,0.2,0.7333333333333333
41,0.2,0.8761904761904762
51,0.2,0.9142857142857143
61,0.2,0.9238095238095239
71,0.2,0.9428571428571428
81,0.2,0.9428571428571428
91,0.2,0.9523809523809523
101,0.2,0.9714285714285714
1,0.3,0.0
11,0.3,0.5523809523809524
21,0.3,0.7523809523809524
31,0.3,0.9047619047619048
41,0.3,0.9238095238095239
51,0.3,0.9428571428571428
61,0.3,0.9428571428571428
71,0.3,0.9714285714285714
81,0.3,0.9714285714285714
91,0.3,0.9714285714285714
101,0.3,0.9714285714285714
1,0.4,0.0
11,0.4,0.6
21,0.4,0.8761904761904762
31,0.4,0.9333333333333333
41,0.4,0.9428571428571428
51,0.4,0.9619047619047619
61,0.4,0.9619047619047619
71,0.4,0.9714285714285714
81,0.4,0.9714285714285714
91,0.4,0.9714285714285714
101,0.4,0.9809523809523809
1,0.5,0.0
11,0.5,0.6857142857142857
21,0.5,0.9238095238095239
31,0.5,0.9428571428571428
41,0.5,0.9619047619047619
51,0.5,0.9619047619047619
61,0.5,0.9714285714285714
71,0.5,0.9714285714285714
81,0.5,0.9714285714285714
91,0.5,0.9714285714285714
101,0.5,0.9809523809523809
1,0.6,0.0
11,0.6,0.819047619047619
21,0.6,0.9333333333333333
31,0.6,0.9619047619047619
41,0.6,0.9619047619047619
51,0.6,0.9714285714285714
61,0.6,0.9714285714285714
71,0.6,0.9714285714285714
81,0.6,0.9809523809523809
91,0.6,0.9809523809523809
101,0.6,0.9904761904761905
1,0.7,0.0
11,0.7,0.8666666666666667
21,0.7,0.9333333333333333
31,0.7,0.9619047619047619
41,0.7,0.9714285714285714
51,0.7,0.9809523809523809
61,0.7,0.9809523809523809
