epoch,neuron,correctness
1,1,0.0
11,1,0.0
21,1,0.46
31,1,0.5
41,1,0.43
51,1,0.49
61,1,0.47
71,1,0.48
81,1,0.55
91,1,0.6
101,1,0.53
111,1,0.52
121,1,0.49
131,1,0.54
141,1,0.41
151,1,0.55
161,1,0.41
171,1,0.45
181,1,0.5
191,1,0.55
201,1,0.56
211,1,0.54
221,1,0.46
231,1,0.49
241,1,0.49
251,1,0.56
261,1,0.49
271,1,0.53
281,1,0.57
291,1,0.56
301,1,0.5
311,1,0.53
321,1,0.5
331,1,0.52
341,1,0.5
351,1,0.43
361,1,0.48
371,1,0.58
381,1,0.5
391,1,0.48
401,1,0.56
411,1,0.47
421,1,0.47
431,1,0.5
441,1,0.42
451,1,0.53
461,1,0.53
471,1,0.37
481,1,0.49
491,1,0.48
501,1,0.35
511,1,0.53
521,1,0.45
531,1,0.48
541,1,0.54
551,1,0.54
561,1,0.56
571,1,0.58
581,1,0.5
591,1,0.55
601,1,0.56
611,1,0.46
621,1,0.44
631,1,0.45
641,1,0.48
651,1,0.58
661,1,0.53
671,1,0.45
681,1,0.48
691,1,0.53
701,1,0.43
711,1,0.47
721,1,0.44
731,1,0.48
741,1,0.5
751,1,0.47
761,1,0.45
771,1,0.47
781,1,0.47
791,1,0.54
801,1,0.57
811,1,0.61
821,1,0.52
831,1,0.47
841,1,0.43
851,1,0.54
861,1,0.47
871,1,0.52
881,1,0.54
891,1,0.57
901,1,0.46
911,1,0.56
921,1,0.46
931,1,0.54
941,1,0.48
951,1,0.52
961,1,0.48
971,1,0.54
981,1,0.5
991,1,0.6
1001,1,0.43
1,2,0.0
11,2,0.0
21,2,0.49
31,2,0.43
41,2,0.5
51,2,0.55
61,2,0.62
71,2,0.38
81,2,0.49
91,2,0.48
101,2,0.49
111,2,0.48
121,2,0.48
131,2,0.51
141,2,0.49
151,2,0.49
161,2,0.53
171,2,0.47
181,2,0.46
191,2,0.46
201,2,0.5
211,2,0.53
221,2,0.47
231,2,0.51
241,2,0.56
251,2,0.46
261,2,0.61
271,2,0.44
281,2,0.53
291,2,0.64
301,2,0.51
311,2,0.5
321,2,0.51
331,2,0.61
341,2,0.48
351,2,0.42
361,2,0.57
371,2,0.48
381,2,0.56
391,2,0.48
401,2,0.49
411,2,0.33
421,2,0.57
431,2,0.47
441,2,0.59
451,2,0.5
461,2,0.61
471,2,0.5
481,2,0.42
491,2,0.37
501,2,0.5
511,2,0.45
521,2,0.5
531,2,0.5
541,2,0.51
551,2,0.44
561,2,0.53
571,2,0.52
581,2,0.48
591,2,0.51
601,2,0.48
611,2,0.54
621,2,0.46
631,2,0.49
641,2,0.5
651,2,0.53
661,2,0.5
671,2,0.56
681,2,0.54
691,2,0.43
701,2,0.52
711,2,0.49
721,2,0.54
731,2,0.51
741,2,0.53
751,2,0.5
761,2,0.5
771,2,0.49
781,2,0.4
791,2,0.5
801,2,0.52
811,2,0.49
821,2,0.52
831,2,0.43
841,2,0.56
851,2,0.62
861,2,0.44
871,2,0.5
881,2,0.51
891,2,0.51
901,2,0.51
911,2,0.46
921,2,0.59
931,2,0.41
941,2,0.52
951,2,0.54
961,2,0.48
971,2,0.48
981,2,0.5
991,2,0.5
1001,2,0.52
1,3,0.0
11,3,0.53
21,3,0.54
31,3,0.53
41,3,0.5
51,3,0.56
61,3,0.46
71,3,0.54
81,3,0.56
91,3,0.56
101,3,0.51
111,3,0.55
121,3,0.55
