epoch,neuron,correctness
1,1,0.0
201,1,0.5549999999999999
401,1,0.485
601,1,0.52
801,1,0.485
1,2,0.0
201,2,0.485
401,2,0.505
601,2,0.49
801,2,0.39
1,3,0.0
201,3,0.64
401,3,0.675
601,3,1.0
801,3,1.0
1,4,0.0
201,4,0.525
401,4,0.775
601,4,0.86
801,4,1.0
1,5,0.0
201,5,0.475
401,5,0.735
601,5,1.0
801,5,1.0
1,6,0.0
201,6,0.605
401,6,0.905
601,6,1.0
801,6,1.0
1,7,0.0
201,7,0.6
401,7,0.86
601,7,0.8400000000000001
801,7,1.0
1,8,0.0
201,8,0.62
401,8,0.825
601,8,1.0
801,8,1.0
1,9,0.0
201,9,0.515
401,9,0.625
601,9,0.885
801,9,1.0
1,10,0.0
201,10,0.61
401,10,0.89
601,10,1.0
801,10,1.0
1,11,0.0
201,11,0.61
401,11,0.895
601,11,1.0
801,11,1.0
1,12,0.0
201,12,0.71
401,12,0.85
601,12,1.0
801,12,1.0
1,13,0.0
201,13,0.625
401,13,0.86
601,13,1.0
801,13,1.0
1,14,0.0
201,14,0.67
401,14,0.915
601,14,1.0
801,14,1.0
1,15,0.0
201,15,0.52
401,15,0.78
601,15,1.0
801,15,1.0
1,16,0.0
201,16,0.59
401,16,0.845
601,16,1.0
801,16,1.0
1,17,0.0
201,17,0.48
401,17,0.875
601,17,1.0
801,17,1.0
1,18,0.0
201,18,0.245
401,18,0.755
601,18,1.0
801,18,1.0
1,19,0.0
201,19,0.275
401,19,0.605
601,19,0.85
801,19,1.0
1,20,0.0
201,20,0.0
401,20,0.46
601,20,0.8400000000000001
801,20,1.0
1,21,0.0
201,21,0.0
401,21,0.27
601,21,0.845
801,21,1.0
1,22,0.0
201,22,0.0
401,22,0.11
601,22,0.655
801,22,1.0
1,23,0.0
201,23,0.0
401,23,0.0
601,23,0.35
801,23,0.765
1,24,0.0
201,24,0.255
401,24,0.385
601,24,0.5
801,24,0.9
1,25,0.0
201,25,0.275
401,25,0.245
601,25,0.5
801,25,0.635
1,26,0.0
201,26,0.0
401,26,0.0
601,26,0.0
801,26,0.325
1,27,0.0
201,27,0.0
401,27,0.0
601,27,0.0
801,27,0.0
1,28,0.0
201,28,0.0
401,28,0.0
601,28,0.0
801,28,0.0
1,29,0.0
201,29,0.0
401,29,0.0
601,29,0.0
801,29,0.0
1,30,0.0
201,30,0.0
401,30,0.0
601,30,0.24
801,30,0.27
1,31,0.0
201,31,0.0
