new_files,deleted_files,modified_files,inserted_lines,deleted_lines,new_files_pred,deleted_files_pred,modified_files_pred,inserted_lines_pred,deleted_lines_pred
2,0,0,54,0,0,0,0,0,0
0,0,0,0,0,0,0,1,9,7
0,0,1,9,7,0,0,1,11,2
0,0,1,11,2,0,0,1,8,6
0,0,1,8,6,47,0,0,5492,0
47,0,0,5492,0,78,0,0,13589,0
78,0,0,13589,0,0,0,1,2,1
0,0,1,2,1,0,0,1,0,6
0,0,1,0,6,0,0,1,31,0
0,0,1,31,0,0,0,2,28,14
0,0,2,28,14,0,0,1,37,36
0,0,1,37,36,0,0,1,0,16
0,0,1,0,16,0,0,1,0,2
0,0,1,0,2,0,0,2,5,5
0,0,2,5,5,0,0,1,2,10
0,0,1,2,10,0,0,1,7,0
0,0,1,7,0,0,0,1,0,0
0,0,1,0,0,0,0,1,2,8
0,0,1,2,8,0,0,2,4,2
0,0,2,4,2,1,0,0,55,0
1,0,0,55,0,0,0,4,17,36
0,0,4,17,36,0,0,1,6,0
0,0,1,6,0,0,0,2,18,0
0,0,2,18,0,0,0,1,3,3
0,0,1,3,3,0,0,1,21,6
0,0,1,21,6,0,0,1,0,0
0,0,1,0,0,0,0,7,137,126
0,0,7,137,126,4,0,0,942,0
4,0,0,942,0,0,0,1,3,3
0,0,1,3,3,0,0,1,11,1
0,0,1,11,1,0,0,2,188,198
0,0,2,188,198,0,0,2,268,60
0,0,2,268,60,4,0,0,172,0
4,0,0,172,0,0,0,2,18,16
0,0,2,18,16,0,0,2,0,2
0,0,2,0,2,0,0,2,0,2
0,0,2,0,2,0,0,1,2,0
0,0,1,2,0,0,0,1,6,1
0,0,1,6,1,0,0,1,3,3
0,0,1,3,3,0,0,1,66,21
0,0,1,66,21,0,0,1,1,3
0,0,1,1,3,0,0,1,2,11
0,0,1,2,11,0,0,2,12,0
0,0,2,12,0,0,0,2,492,517
0,0,2,492,517,0,0,1,0,0
0,0,1,0,0,0,0,1,2,2
0,0,1,2,2,0,0,1,15,0
0,0,1,15,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,8,4
0,0,1,8,4,0,0,1,103,5
0,0,1,103,5,0,0,2,10,14
0,0,2,10,14,0,0,2,12,28
0,0,2,12,28,0,0,2,6,4
0,0,2,6,4,4,0,0,226,0
4,0,0,226,0,0,0,1,2,0
0,0,1,2,0,0,0,2,20,0
0,0,2,20,0,0,0,1,4,2
0,0,1,4,2,0,0,1,2,0
0,0,1,2,0,0,0,1,5,2
0,0,1,5,2,0,0,1,6,1
0,0,1,6,1,0,0,1,3,3
0,0,1,3,3,0,0,10,430,424
0,0,10,430,424,10,0,0,812,0
10,0,0,812,0,0,0,1,7,13
0,0,1,7,13,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,3,0,0,3175,0
3,0,0,3175,0,0,0,1,9,154
0,0,1,9,154,0,0,1,13,6
0,0,1,13,6,0,0,1,171,169
0,0,1,171,169,0,0,1,176,27
0,0,1,176,27,0,0,1,0,0
0,0,1,0,0,0,0,1,4,2
0,0,1,4,2,0,0,1,23,0
0,0,1,23,0,0,0,1,0,0
0,0,1,0,0,0,0,1,2,0
0,0,1,2,0,0,0,1,3,2
0,0,1,3,2,0,0,1,4,3
0,0,1,4,3,0,0,1,9,3
0,0,1,9,3,0,0,1,0,0
0,0,1,0,0,0,0,1,41,6
0,0,1,41,6,0,0,1,13,38
0,0,1,13,38,0,0,1,2,2
0,0,1,2,2,13,0,59,3302,2000
13,0,59,3302,2000,0,0,1,0,0
0,0,1,0,0,0,0,1,2,2
0,0,1,2,2,1,0,0,86,0
1,0,0,86,0,0,0,1,5,2
0,0,1,5,2,0,0,1,5,0
0,0,1,5,0,0,0,1,5,0
0,0,1,5,0,0,0,1,2,2
0,0,1,2,2,0,0,1,11,9
0,0,1,11,9,0,0,3,3,3
0,0,3,3,3,0,0,2,14,3
0,0,2,14,3,0,0,2,18,2
0,0,2,18,2,0,0,2,24,18
0,0,2,24,18,0,0,2,2,2
0,0,2,2,2,0,0,2,6,2
0,0,2,6,2,0,0,2,10,2
0,0,2,10,2,0,0,2,2,2
0,0,2,2,2,11,0,0,1377,0
11,0,0,1377,0,0,0,2,8,8
0,0,2,8,8,0,0,1,44,6
0,0,1,44,6,2,0,0,129,0
2,0,0,129,0,1,0,0,44,0
1,0,0,44,0,0,0,1,8,1
