new_files,deleted_files,modified_files,inserted_lines,deleted_lines,new_files_pred,deleted_files_pred,modified_files_pred,inserted_lines_pred,deleted_lines_pred
31,0,0,2167,0,0,0,1,4,1
0,0,1,4,1,0,0,1,0,0
0,0,1,0,0,0,0,2,2,2
0,0,2,2,2,0,0,1,251,19
0,0,1,251,19,0,0,17,18,18
0,0,17,18,18,0,0,1,0,0
0,0,1,0,0,0,0,2,2,2
0,0,2,2,2,0,0,0,0,0
0,0,0,0,0,0,0,2,72,16
0,0,2,72,16,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,9,0,5,819,4
9,0,5,819,4,0,0,4,4,5
0,0,4,4,5,0,0,0,0,0
0,0,0,0,0,0,0,2,5,5
0,0,2,5,5,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,2,2
0,0,2,2,2,0,0,1,2,2
0,0,1,2,2,0,0,1,13,5
0,0,1,13,5,1,0,0,430,0
1,0,0,430,0,0,0,4,8,0
0,0,4,8,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,705,0
1,0,1,705,0,0,0,1,6,6
0,0,1,6,6,0,0,1,16,24
0,0,1,16,24,0,0,1,17,0
0,0,1,17,0,0,0,1,6,2
0,0,1,6,2,0,0,1,2,2
0,0,1,2,2,0,0,1,9,9
0,0,1,9,9,0,0,1,2,2
0,0,1,2,2,0,0,1,0,0
0,0,1,0,0,0,0,1,41,41
0,0,1,41,41,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,4,0
0,0,1,4,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,8,8
0,0,3,8,8,0,0,1,0,0
0,0,1,0,0,0,0,2,1,2
0,0,2,1,2,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,4,4
0,0,3,4,4,8,0,1,144,0
8,0,1,144,0,5,0,3,87,1
5,0,3,87,1,1,0,2,10,2
1,0,2,10,2,1,0,2,19,1
1,0,2,19,1,4,0,3,71,3
4,0,3,71,3,0,0,1,2,0
0,0,1,2,0,3,0,2,40,2
3,0,2,40,2,0,0,1,0,0
0,0,1,0,0,0,0,2,2,2
0,0,2,2,2,2,0,1,22,0
2,0,1,22,0,2,0,1,22,0
2,0,1,22,0,2,0,3,122,6
2,0,3,122,6,0,0,1,8,0
0,0,1,8,0,1,0,2,123,4
1,0,2,123,4,2,0,3,68,50
2,0,3,68,50,0,0,1,8,1
0,0,1,8,1,5,0,7,339,29
5,0,7,339,29,0,0,4,8,8
0,0,4,8,8,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7,17,16
0,0,7,17,16,0,0,0,0,0
0,0,0,0,0,0,0,7,12,10
0,0,7,12,10,0,0,7,17,16
0,0,7,17,16,0,0,0,0,0
0,0,0,0,0,0,0,2,4,2
0,0,2,4,2,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,6,270,270
0,0,6,270,270,0,3,2,1,898
0,3,2,1,898,0,1,2,1,38
0,1,2,1,38,0,0,1,0,0
0,0,1,0,0,0,0,1,11,11
0,0,1,11,11,0,0,3,58,48
0,0,3,58,48,0,0,1,0,0
0,0,1,0,0,0,0,2,9,9
0,0,2,9,9,0,0,1,3,2
0,0,1,3,2,0,0,1,5,7
0,0,1,5,7,0,0,0,0,0
0,0,0,0,0,0,0,2,5,4
0,0,2,5,4,0,0,1,10,4
0,0,1,10,4,0,0,0,0,0
0,0,0,0,0,0,0,9,20,18
0,0,9,20,18,0,0,4,4,0
0,0,4,4,0,0,0,1,6,0
0,0,1,6,0,0,0,1,30,30
0,0,1,30,30,0,0,3,8,6
0,0,3,8,6,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,3,15,7
0,0,3,15,7,0,0,1,0,12
0,0,1,0,12,0,0,1,73,73
0,0,1,73,73,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,9,0,5,948,53
9,0,5,948,53,0,0,1,0,0
0,0,1,0,0,0,0,1,19,5
0,0,1,19,5,0,0,0,0,0
0,0,0,0,0,0,4,0,0,609
0,4,0,0,609,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,1,93,0
2,0,1,93,0,0,0,1,7,4
0,0,1,7,4,2,0,2,68,0
2,0,2,68,0,0,0,1,37,4
0,0,1,37,4,0,0,2,9,3
0,0,2,9,3,0,0,1,3,3
0,0,1,3,3,0,0,4,4,4
0,0,4,4,4,1,0,1,33,0
1,0,1,33,0,1,1,3,130,130
1,1,3,130,130,0,0,2,20,4
0,0,2,20,4,0,0,1,33,25
0,0,1,33,25,0,0,2,61,7
0,0,2,61,7,0,0,1,2,2
0,0,1,2,2,0,0,3,6,6
0,0,3,6,6,0,0,1,4,1
0,0,1,4,1,0,0,0,0,0
0,0,0,0,0,0,0,2,31,13
0,0,2,31,13,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,12,20,20
0,0,12,20,20,0,0,4,9,5
0,0,4,9,5,0,0,1,18,12
0,0,1,18,12,0,0,2,8,0
0,0,2,8,0,0,0,1,5,2
0,0,1,5,2,2,0,9,174,27
2,0,9,174,27,0,0,1,0,0
0,0,1,0,0,0,0,3,20,6
0,0,3,20,6,0,0,2,24,24
0,0,2,24,24,1,0,2,56,4
1,0,2,56,4,0,0,1,0,0
0,0,1,0,0,0,0,5,1,21
0,0,5,1,21,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,9,0
0,0,1,9,0,0,0,1,0,0
0,0,1,0,0,1,0,4,26,18
1,0,4,26,18,0,0,4,7,4
0,0,4,7,4,0,0,1,2,1
0,0,1,2,1,1,0,3,57,2
1,0,3,57,2,0,0,0,0,0
0,0,0,0,0,15,0,4,472,46
15,0,4,472,46,0,0,1,2,1
0,0,1,2,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,12,16
0,0,5,12,16,0,0,2,23,14
0,0,2,23,14,1,0,2,44,1
1,0,2,44,1,2,0,2,90,1
2,0,2,90,1,0,0,1,4,1
0,0,1,4,1,0,0,0,0,0
0,0,0,0,0,0,0,1,36,18
0,0,1,36,18,0,0,2,78,20
0,0,2,78,20,0,0,1,26,16
0,0,1,26,16,0,3,5,12,47
0,3,5,12,47,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,5,4
0,0,2,5,4,0,0,24,90,60
0,0,24,90,60,0,0,0,0,0
0,0,0,0,0,0,0,2,127,7
0,0,2,127,7,0,0,1,0,2
0,0,1,0,2,0,0,0,0,0
0,0,0,0,0,1,0,5,185,31
1,0,5,185,31,0,0,1,3,3
0,0,1,3,3,3,0,2,348,189
3,0,2,348,189,0,0,2,8,17
0,0,2,8,17,0,0,1,2,3
0,0,1,2,3,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,2,0,5,216,28
2,0,5,216,28,0,0,1,8,0
0,0,1,8,0,0,0,2,0,8
0,0,2,0,8,0,0,12,88,11
0,0,12,88,11,0,0,2,85,2
0,0,2,85,2,8,0,2,874,0
8,0,2,874,0,0,0,7,28,7
0,0,7,28,7,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,27,25
0,0,5,27,25,0,0,6,71,58
0,0,6,71,58,0,0,3,11,72
0,0,3,11,72,0,0,1,0,0
0,0,1,0,0,0,0,2,2,2
0,0,2,2,2,0,0,1,5,3
0,0,1,5,3,0,0,1,0,0
0,0,1,0,0,0,0,1,3,1
0,0,1,3,1,1,0,3,77,14
1,0,3,77,14,3,0,12,70,32
3,0,12,70,32,0,0,1,9,0
0,0,1,9,0,0,0,2,28,5
0,0,2,28,5,0,0,1,13,0
0,0,1,13,0,1,0,3,119,1
1,0,3,119,1,0,0,1,10,2
0,0,1,10,2,0,0,3,3,3
0,0,3,3,3,0,0,3,0,37
0,0,3,0,37,0,0,2,2,2
0,0,2,2,2,1,0,3,169,91
1,0,3,169,91,0,0,3,21,1
0,0,3,21,1,0,0,4,7,21
0,0,4,7,21,0,0,8,26,15
0,0,8,26,15,0,0,1,6,0
0,0,1,6,0,0,0,2,18,3
0,0,2,18,3,0,0,1,0,0
0,0,1,0,0,0,0,1,7,1
0,0,1,7,1,0,0,2,30,3
0,0,2,30,3,0,0,3,6,6
0,0,3,6,6,0,0,1,12,1
0,0,1,12,1,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,5,173,65
1,0,5,173,65,0,0,1,4,0
0,0,1,4,0,0,0,1,10,7
0,0,1,10,7,2,0,3,243,17
2,0,3,243,17,0,0,1,39,21
0,0,1,39,21,0,0,3,3,3
0,0,3,3,3,3,0,7,450,397
3,0,7,450,397,0,0,3,4,6
0,0,3,4,6,2,0,6,210,45
2,0,6,210,45,0,0,1,34,18
0,0,1,34,18,0,0,4,10,3
0,0,4,10,3,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,14,9
0,0,1,14,9,0,0,1,11,8
0,0,1,11,8,0,0,4,18,18
0,0,4,18,18,0,0,1,0,0
0,0,1,0,0,0,0,1,14,9
0,0,1,14,9,0,0,1,11,8
0,0,1,11,8,0,0,4,18,18
0,0,4,18,18,0,0,0,0,0
0,0,0,0,0,0,0,2,2,2
0,0,2,2,2,0,0,0,0,0
0,0,0,0,0,0,0,2,16,14
0,0,2,16,14,0,0,2,2,3
0,0,2,2,3,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,2,95,44
1,0,2,95,44,0,0,3,96,30
0,0,3,96,30,0,0,2,4,1
0,0,2,4,1,0,0,2,22,7
0,0,2,22,7,0,0,1,6,6
0,0,1,6,6,0,0,1,2,1
0,0,1,2,1,0,0,4,4,4
0,0,4,4,4,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,37,53
0,0,2,37,53,0,0,0,0,0
0,0,0,0,0,0,0,7,52,88
0,0,7,52,88,0,0,2,6,15
0,0,2,6,15,0,0,0,0,0
0,0,0,0,0,0,0,1,2,5
0,0,1,2,5,0,0,2,6,4
0,0,2,6,4,0,0,2,7,9
0,0,2,7,9,0,0,1,2,2
0,0,1,2,2,0,0,2,2,6
0,0,2,2,6,0,0,34,129,100
0,0,34,129,100,0,0,4,50,4
0,0,4,50,4,0,0,0,0,0
0,0,0,0,0,0,0,6,25,13
0,0,6,25,13,0,0,0,0,0
0,0,0,0,0,0,0,4,6,4
0,0,4,6,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,18,13
0,0,2,18,13,5,0,4,133,11
5,0,4,133,11,0,0,2,6,3
0,0,2,6,3,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,1,1,0,12
0,1,1,0,12,0,0,1,2,2
0,0,1,2,2,5,0,6,274,6
5,0,6,274,6,0,0,4,35,11
0,0,4,35,11,0,2,7,44,67
0,2,7,44,67,0,0,1,4,21
0,0,1,4,21,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,13,14
0,0,2,13,14,0,0,1,0,0
0,0,1,0,0,0,0,2,20,12
0,0,2,20,12,0,0,4,19,11
0,0,4,19,11,0,0,2,26,28
0,0,2,26,28,0,0,2,50,10
0,0,2,50,10,0,0,4,47,44
0,0,4,47,44,9,0,9,390,262
9,0,9,390,262,0,0,1,20,12
