new_files,deleted_files,modified_files,inserted_lines,deleted_lines,new_files_pred,deleted_files_pred,modified_files_pred,inserted_lines_pred,deleted_lines_pred
0,0,0,0,0,56,0,0,16187,0
56,0,0,16187,0,0,0,1,0,0
0,0,1,0,0,0,3,0,14,715
0,3,0,14,715,0,0,1,4,8
0,0,1,4,8,189,0,0,43488,0
189,0,0,43488,0,0,0,1,0,0
0,0,1,0,0,11,0,1,299,2
11,0,1,299,2,0,0,1,3,0
0,0,1,3,0,0,0,1,0,0
0,0,1,0,0,0,0,1,3,3
0,0,1,3,3,0,0,1,1,7
0,0,1,1,7,0,0,2,6,1
0,0,2,6,1,0,0,1,2,2
0,0,1,2,2,0,0,1,0,0
0,0,1,0,0,0,0,1,3,6
0,0,1,3,6,0,0,1,5,0
0,0,1,5,0,0,0,5,43,9
0,0,5,43,9,0,0,1,2,2
0,0,1,2,2,0,0,2,7,10
0,0,2,7,10,0,0,4,60,50
0,0,4,60,50,0,0,2,6,3
0,0,2,6,3,0,0,1,3,1
0,0,1,3,1,0,0,1,12,1
0,0,1,12,1,0,0,1,2,2
0,0,1,2,2,0,0,2,2,2
0,0,2,2,2,0,0,6,219,68
0,0,6,219,68,0,0,0,0,0
0,0,0,0,0,1,0,0,31,0
1,0,0,31,0,0,0,1,0,17
0,0,1,0,17,0,0,1,6,13
0,0,1,6,13,0,0,1,9,3
0,0,1,9,3,0,0,1,30,0
0,0,1,30,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,2,46,0
0,0,2,46,0,0,0,1,7,2
0,0,1,7,2,0,0,2,9,3
0,0,2,9,3,0,0,4,10,30
0,0,4,10,30,0,0,6,28,40
0,0,6,28,40,0,0,5,40,103
0,0,5,40,103,0,0,3,21,4
0,0,3,21,4,0,0,2,2,2
0,0,2,2,2,0,0,12,159,323
0,0,12,159,323,0,0,4,595,831
0,0,4,595,831,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,1,2
0,0,1,1,2,1,0,0,103,0
1,0,0,103,0,0,0,1,5,5
0,0,1,5,5,0,0,2,2,0
0,0,2,2,0,0,0,11,151,88
0,0,11,151,88,0,0,2,2,1
0,0,2,2,1,0,0,1,0,0
0,0,1,0,0,0,0,1,21,27
0,0,1,21,27,0,0,1,6,4
0,0,1,6,4,0,0,1,2,3
0,0,1,2,3,0,0,1,0,0
0,0,1,0,0,0,0,2,0,5
0,0,2,0,5,0,0,4,7,4
0,0,4,7,4,0,0,1,0,0
0,0,1,0,0,0,0,4,27,18
0,0,4,27,18,0,0,1,16,8
0,0,1,16,8,0,0,1,3,5
0,0,1,3,5,0,0,8,76,14
0,0,8,76,14,0,0,1,5,0
0,0,1,5,0,0,0,1,4,4
0,0,1,4,4,0,0,1,2,2
0,0,1,2,2,0,0,2,13,3
0,0,2,13,3,5,0,0,2952,0
5,0,0,2952,0,81,0,11,20839,1236
81,0,11,20839,1236,0,1,0,0,1993
0,1,0,0,1993,0,0,0,0,0
0,0,0,0,0,0,0,1,6,2
0,0,1,6,2,0,1,0,0,505
0,1,0,0,505,0,0,5,21,21
0,0,5,21,21,0,0,1,6,1
0,0,1,6,1,0,0,2,6,0
0,0,2,6,0,0,0,14,59,43
0,0,14,59,43,2,0,0,81,0
2,0,0,81,0,0,0,11,95,76
0,0,11,95,76,1,0,3,16,8
1,0,3,16,8,0,0,1,0,0
0,0,1,0,0,0,0,2,2,2
0,0,2,2,2,0,0,1,7,0
0,0,1,7,0,0,0,3,0,23
0,0,3,0,23,14,0,0,1786,0
14,0,0,1786,0,0,0,4,16,67
0,0,4,16,67,0,0,1,34,1
0,0,1,34,1,7,0,4,4097,346
7,0,4,4097,346,0,0,4,8,2
0,0,4,8,2,0,0,1,20,2
0,0,1,20,2,0,0,1,2,2
0,0,1,2,2,0,0,0,0,0
0,0,0,0,0,0,0,2,15,15
0,0,2,15,15,0,0,1,8,4
0,0,1,8,4,2,1,5,533,629
2,1,5,533,629,0,0,1,16,8
0,0,1,16,8,0,0,2,8,2
0,0,2,8,2,0,0,11,541,1178
0,0,11,541,1178,1,2,1,34,548
1,2,1,34,548,3,1,1,19,515
3,1,1,19,515,3,0,0,527,0
3,0,0,527,0,0,0,14,157,66
