new_files,deleted_files,modified_files,inserted_lines,deleted_lines,new_files_pred,deleted_files_pred,modified_files_pred,inserted_lines_pred,deleted_lines_pred
5,0,0,173,0,1,0,0,4,0
1,0,0,4,0,81,0,0,23138,0
81,0,0,23138,0,2,0,1,253,0
2,0,1,253,0,22,0,0,859,0
22,0,0,859,0,2,0,5,615,11
2,0,5,615,11,102,0,0,2402,0
102,0,0,2402,0,1,0,1,54,3
1,0,1,54,3,0,0,1,0,0
0,0,1,0,0,0,0,1,8,8
0,0,1,8,8,1,0,1,43,0
1,0,1,43,0,1,0,1,41,0
1,0,1,41,0,0,0,20,271,252
0,0,20,271,252,3,0,3,44,29
3,0,3,44,29,1,0,0,142,0
1,0,0,142,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,22,0
0,0,1,22,0,12,0,0,599,0
12,0,0,599,0,1,0,0,0,0
1,0,0,0,0,2,0,0,283,0
2,0,0,283,0,0,0,1,0,0
0,0,1,0,0,2,0,0,80,0
2,0,0,80,0,0,0,3,6,4
0,0,3,6,4,0,0,1,10,0
0,0,1,10,0,2,0,0,66,0
2,0,0,66,0,1,0,0,27,0
1,0,0,27,0,0,0,1,26,0
0,0,1,26,0,0,0,1,2,0
0,0,1,2,0,2,0,0,182,0
2,0,0,182,0,0,0,1,2,0
0,0,1,2,0,0,0,2,4,4
0,0,2,4,4,2,0,0,73,0
2,0,0,73,0,0,9,0,0,216
0,9,0,0,216,1,0,0,32,0
1,0,0,32,0,0,0,1,0,0
0,0,1,0,0,0,0,1,29,8
0,0,1,29,8,0,1,0,0,601
0,1,0,0,601,8,0,0,2047,0
8,0,0,2047,0,0,0,1,9,0
0,0,1,9,0,0,0,3,12,4
0,0,3,12,4,1,0,1,554,0
1,0,1,554,0,1,0,1,163,0
1,0,1,163,0,0,0,1,14,0
0,0,1,14,0,0,0,1,30,0
0,0,1,30,0,1,0,2,889,3
1,0,2,889,3,0,0,1,2,2
0,0,1,2,2,2,0,0,1549,0
2,0,0,1549,0,0,0,3,6,4
0,0,3,6,4,0,2,2,14,292
0,2,2,14,292,0,0,7,433,362
0,0,7,433,362,6,0,0,1940,0
6,0,0,1940,0,0,0,1,4,4
0,0,1,4,4,1,0,0,26,0
1,0,0,26,0,1,0,0,3,0
1,0,0,3,0,0,0,1,2,0
0,0,1,2,0,0,0,6,13,13
0,0,6,13,13,0,0,1,4,7
0,0,1,4,7,0,0,2,3,5
0,0,2,3,5,0,0,25,298,217
0,0,25,298,217,0,0,3,7,7
0,0,3,7,7,1,0,0,5,0
1,0,0,5,0,0,0,1,3,1
0,0,1,3,1,0,0,1,3,0
0,0,1,3,0,1,0,0,465,0
1,0,0,465,0,0,0,2,3,3
0,0,2,3,3,0,0,1,5,0
0,0,1,5,0,0,0,1,3,0
0,0,1,3,0,0,0,1,4,3
0,0,1,4,3,0,0,1,28,4
0,0,1,28,4,1,0,0,27,0
1,0,0,27,0,0,0,1,3,2
0,0,1,3,2,0,0,1,11,0
0,0,1,11,0,0,0,1,7,1
0,0,1,7,1,2,0,1,678,2
2,0,1,678,2,0,0,2,8,7
0,0,2,8,7,0,0,1,10,11
0,0,1,10,11,0,0,3,13,2
0,0,3,13,2,0,0,1,5,4
0,0,1,5,4,0,0,1,4,1
0,0,1,4,1,0,0,1,0,0
0,0,1,0,0,0,0,2,4,4
0,0,2,4,4,0,0,1,3,1
0,0,1,3,1,0,0,1,35,32
0,0,1,35,32,2,0,0,297,0
2,0,0,297,0,0,0,1,2,0
0,0,1,2,0,0,0,1,7,12
0,0,1,7,12,0,0,1,10,10
0,0,1,10,10,3,0,0,2731,0
3,0,0,2731,0,0,0,2,8,2
0,0,2,8,2,1,0,0,47,0
1,0,0,47,0,0,0,1,4,0
0,0,1,4,0,0,0,11,38,21
0,0,11,38,21,12,0,22,1053,186
12,0,22,1053,186,0,0,1,4,4
0,0,1,4,4,0,0,1,2,2
0,0,1,2,2,0,0,1,262,140
0,0,1,262,140,0,0,1,0,0
0,0,1,0,0,0,0,1,3,3
0,0,1,3,3,0,0,3,7,21
0,0,3,7,21,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,1,0,1,24,1
1,0,1,24,1,0,0,27,159,154
0,0,27,159,154,0,0,2,2,9
0,0,2,2,9,0,0,1,5,2
0,0,1,5,2,0,0,4,302,50
0,0,4,302,50,0,0,2,20,30
0,0,2,20,30,0,0,1,38,75
0,0,1,38,75,0,0,1,0,0
0,0,1,0,0,0,0,13,118,30
0,0,13,118,30,0,0,1,0,0
0,0,1,0,0,1,0,0,41,0
1,0,0,41,0,0,0,1,8,4
0,0,1,8,4,0,0,2,8,8
0,0,2,8,8,0,0,1,27,4
0,0,1,27,4,0,0,1,5,5
0,0,1,5,5,0,0,1,4,6
0,0,1,4,6,0,0,4,16,6
0,0,4,16,6,1,0,0,2,0
1,0,0,2,0,27,0,1,3639,0
27,0,1,3639,0,0,0,1,2,2
0,0,1,2,2,0,0,9,78,43
0,0,9,78,43,0,0,1,6,10
0,0,1,6,10,0,0,1,0,0
0,0,1,0,0,2,0,7,56,33
2,0,7,56,33,0,0,2,32,32
0,0,2,32,32,0,0,1,0,0
0,0,1,0,0,0,0,4,23,7
0,0,4,23,7,0,0,2,9,31
0,0,2,9,31,0,0,4,18,19
0,0,4,18,19,0,0,2,100,44
0,0,2,100,44,0,0,3,35,21
0,0,3,35,21,0,0,1,4,1
0,0,1,4,1,0,0,1,14,1
0,0,1,14,1,0,0,1,0,0
