new_files,deleted_files,modified_files,inserted_lines,deleted_lines,new_files_pred,deleted_files_pred,modified_files_pred,inserted_lines_pred,deleted_lines_pred
0,0,0,0,0,9,0,0,194,0
9,0,0,194,0,2,0,1,172,1
2,0,1,172,1,0,1,1,3,26
0,1,1,3,26,0,0,3,15,5
0,0,3,15,5,0,0,3,51,12
0,0,3,51,12,0,0,3,62,3
0,0,3,62,3,0,0,4,47,4
0,0,4,47,4,0,0,3,19,2
0,0,3,19,2,1,0,2,79,1
1,0,2,79,1,0,0,2,93,3
0,0,2,93,3,1,0,1,5,2
1,0,1,5,2,0,0,2,116,6
0,0,2,116,6,0,0,3,49,3
0,0,3,49,3,0,0,3,70,5
0,0,3,70,5,2,0,1,57,1
2,0,1,57,1,0,0,3,7,2
0,0,3,7,2,1,0,0,19,0
1,0,0,19,0,4,0,4,155,13
4,0,4,155,13,5,0,3,129,4
5,0,3,129,4,0,0,4,8,5
0,0,4,8,5,0,0,5,30,19
0,0,5,30,19,0,0,6,57,3
0,0,6,57,3,0,0,3,10,9
0,0,3,10,9,0,0,2,26,4
0,0,2,26,4,0,0,4,36,6
0,0,4,36,6,1,0,1,11,0
1,0,1,11,0,2,0,4,99,5
2,0,4,99,5,0,0,2,17,7
0,0,2,17,7,0,0,6,10,3
0,0,6,10,3,0,0,2,15,11
0,0,2,15,11,2,0,0,100,0
2,0,0,100,0,0,0,4,27,7
0,0,4,27,7,0,0,6,26,7
0,0,6,26,7,0,0,2,8,6
0,0,2,8,6,2,0,2,72,5
2,0,2,72,5,0,0,2,12,0
0,0,2,12,0,0,0,2,3,2
0,0,2,3,2,2,0,0,59,0
2,0,0,59,0,0,0,3,41,1
0,0,3,41,1,0,0,5,72,4
0,0,5,72,4,2,0,10,197,27
2,0,10,197,27,0,0,5,44,34
0,0,5,44,34,0,0,8,119,5
0,0,8,119,5,0,0,3,38,11
0,0,3,38,11,0,0,4,45,6
0,0,4,45,6,0,0,2,12,4
0,0,2,12,4,0,0,3,4,6
0,0,3,4,6,0,0,2,17,17
0,0,2,17,17,0,0,1,4,2
0,0,1,4,2,0,0,1,24,5
0,0,1,24,5,0,0,2,8,9
0,0,2,8,9,0,0,4,88,11
0,0,4,88,11,0,0,1,0,0
0,0,1,0,0,0,0,1,11,0
0,0,1,11,0,0,0,2,2,2
0,0,2,2,2,1,0,3,84,11
1,0,3,84,11,1,0,3,37,5
1,0,3,37,5,2,0,8,105,41
2,0,8,105,41,2,0,4,155,11
2,0,4,155,11,0,0,2,3,8
0,0,2,3,8,0,0,7,93,0
0,0,7,93,0,0,0,6,130,18
0,0,6,130,18,0,0,3,68,1
0,0,3,68,1,0,0,4,31,15
0,0,4,31,15,0,0,3,20,7
0,0,3,20,7,0,0,1,23,2
0,0,1,23,2,0,0,4,62,35
0,0,4,62,35,0,0,1,3,7
0,0,1,3,7,0,0,3,12,17
0,0,3,12,17,0,0,17,117,60
0,0,17,117,60,0,0,1,2,1
0,0,1,2,1,0,0,7,117,12
0,0,7,117,12,0,0,3,18,14
0,0,3,18,14,0,0,5,77,25
0,0,5,77,25,0,0,1,16,1
0,0,1,16,1,0,0,3,73,7
0,0,3,73,7,0,0,2,18,12
0,0,2,18,12,0,0,2,35,2
0,0,2,35,2,0,0,2,38,11
0,0,2,38,11,0,0,1,15,4
0,0,1,15,4,0,0,7,56,103
0,0,7,56,103,0,0,1,1,13
0,0,1,1,13,0,0,4,82,9
0,0,4,82,9,0,0,3,11,14
0,0,3,11,14,0,0,3,49,1
0,0,3,49,1,0,0,1,7,1
0,0,1,7,1,0,0,3,36,9
0,0,3,36,9,0,0,7,141,2
0,0,7,141,2,0,0,2,29,18
0,0,2,29,18,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,3,0
0,0,1,3,0,0,0,6,85,23
0,0,6,85,23,0,0,1,9,2
0,0,1,9,2,0,0,2,8,14
0,0,2,8,14,0,0,1,19,24
0,0,1,19,24,0,0,1,6,11
0,0,1,6,11,0,0,1,5,2
0,0,1,5,2,0,0,1,2,2
0,0,1,2,2,0,0,3,43,5
0,0,3,43,5,0,0,1,11,8
0,0,1,11,8,0,0,1,1,2
0,0,1,1,2,0,0,10,200,24
0,0,10,200,24,0,0,3,26,24
0,0,3,26,24,0,0,3,61,42
0,0,3,61,42,0,0,4,46,27
0,0,4,46,27,0,0,3,66,40
0,0,3,66,40,1,0,2,131,4
1,0,2,131,4,0,0,2,100,113
0,0,2,100,113,0,0,3,55,16
0,0,3,55,16,0,0,2,123,36
0,0,2,123,36,0,0,1,59,25
0,0,1,59,25,0,0,1,240,228
0,0,1,240,228,0,0,1,105,12
