new_files,deleted_files,modified_files,inserted_lines,deleted_lines,new_files_pred,deleted_files_pred,modified_files_pred,inserted_lines_pred,deleted_lines_pred
1900,0,0,391534,0,2,2,66,1245,914
2,2,66,1245,914,21,0,26,4223,160
21,0,26,4223,160,1,0,20,242,94
1,0,20,242,94,0,0,68,2076,2015
0,0,68,2076,2015,0,0,2,5,5
0,0,2,5,5,4,5,53,2003,1752
4,5,53,2003,1752,0,1,13,110,110
0,1,13,110,110,0,0,22,430,405
0,0,22,430,405,0,0,34,398,314
0,0,34,398,314,1,0,7,164,127
1,0,7,164,127,0,0,1,5,4
0,0,1,5,4,1,1,1,17,11
1,1,1,17,11,0,0,1,11,5
0,0,1,11,5,0,0,3,4,5
0,0,3,4,5,0,0,18,1289,1289
0,0,18,1289,1289,2,0,18,270,214
2,0,18,270,214,0,0,66,1175,1127
0,0,66,1175,1127,7,1,66,602,279
7,1,66,602,279,0,2,23,218,281
0,2,23,218,281,0,0,1,25,11
0,0,1,25,11,0,0,0,0,0
0,0,0,0,0,1,0,8,512,15
1,0,8,512,15,2,0,317,2609,710
2,0,317,2609,710,8,0,0,503,0
8,0,0,503,0,0,0,3,57,3
0,0,3,57,3,0,0,3,0,57
0,0,3,0,57,0,0,1,0,0
0,0,1,0,0,3,0,45,811,694
3,0,45,811,694,0,0,2,2,2
0,0,2,2,2,0,1,42,397,580
0,1,42,397,580,0,0,22,264,131
0,0,22,264,131,0,0,2,16,3
0,0,2,16,3,2,0,1,149,87
2,0,1,149,87,0,0,1,17,16
0,0,1,17,16,0,0,5,70,0
0,0,5,70,0,5,0,30,488,78
5,0,30,488,78,0,0,291,726,765
0,0,291,726,765,5,0,54,2975,512
5,0,54,2975,512,0,0,0,0,0
0,0,0,0,0,0,0,1,87,58
0,0,1,87,58,1,0,1,106,0
1,0,1,106,0,11,0,100,11229,2753
11,0,100,11229,2753,0,3,19,184,2066
0,3,19,184,2066,0,0,1,4,3
0,0,1,4,3,1,0,2,71,30
1,0,2,71,30,0,0,2,21,39
0,0,2,21,39,0,0,2,7,3
0,0,2,7,3,2,0,2,45,2
2,0,2,45,2,0,2,0,0,27
0,2,0,0,27,1,0,5,231,53
1,0,5,231,53,0,0,1,25,4
0,0,1,25,4,0,0,1,23,3
0,0,1,23,3,0,0,1,19,4
0,0,1,19,4,0,0,1,13,3
0,0,1,13,3,0,0,2,56,6
0,0,2,56,6,1,0,1,52,8
1,0,1,52,8,0,0,1,2,1
0,0,1,2,1,1,0,2,28,6
1,0,2,28,6,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,77,0,1194,18402,1067
77,0,1194,18402,1067,0,0,1,6,6
0,0,1,6,6,0,0,0,0,0
0,0,0,0,0,1,0,3,63,5
1,0,3,63,5,5,1,0,234,153
5,1,0,234,153,1,0,1,102,45
1,0,1,102,45,0,0,1,2,2
0,0,1,2,2,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,3,152,14
1,0,3,152,14,0,0,3,53,19
0,0,3,53,19,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,45,9
0,0,1,45,9,0,0,1,0,0
0,0,1,0,0,4,0,1,248,0
4,0,1,248,0,0,0,3,10,3
0,0,3,10,3,0,0,3,42,0
0,0,3,42,0,0,0,3,20,6
0,0,3,20,6,0,0,1,0,2
0,0,1,0,2,0,0,3,92,50
0,0,3,92,50,1,0,0,78,0
1,0,0,78,0,7,77,224,4712,2396
7,77,224,4712,2396,1,0,0,19,0
1,0,0,19,0,1,0,1,21,3
1,0,1,21,3,0,0,11,29,50
0,0,11,29,50,0,0,1,2,2
0,0,1,2,2,0,0,1,0,0
0,0,1,0,0,0,0,1,2,1
0,0,1,2,1,0,0,2,8,5
0,0,2,8,5,0,0,1,2,1
0,0,1,2,1,1,0,1,34,1
1,0,1,34,1,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,2,2
0,0,1,2,2,0,0,2,23,7
0,0,2,23,7,0,0,2,38,0
0,0,2,38,0,17,2,127,4661,3026
17,2,127,4661,3026,0,0,1,0,0
0,0,1,0,0,1,1,25,715,273
1,1,25,715,273,4,0,53,1923,338
4,0,53,1923,338,1,0,7,312,33
1,0,7,312,33,11,0,52,1016,298
11,0,52,1016,298,0,0,0,0,0
0,0,0,0,0,1,1,29,346,184
1,1,29,346,184,0,0,0,0,0
0,0,0,0,0,3,0,30,620,51
3,0,30,620,51,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,2,1,2
0,0,2,1,2,0,0,1,4,2
0,0,1,4,2,0,0,1,4,2
0,0,1,4,2,0,0,1,7,8
0,0,1,7,8,1,0,6,195,95
1,0,6,195,95,0,1,1,1,24
0,1,1,1,24,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,7,8,12
0,0,7,8,12,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,10,0
0,0,1,10,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,21,0
0,0,1,21,0,0,0,0,0,0
0,0,0,0,0,0,0,1,6,0
0,0,1,6,0,0,0,1,3,0
0,0,1,3,0,0,0,1,9,5
0,0,1,9,5,0,0,1,3,0
0,0,1,3,0,0,0,1,4,3
0,0,1,4,3,0,0,1,15,0
0,0,1,15,0,0,0,1,0,0
0,0,1,0,0,0,0,1,4,2
0,0,1,4,2,1,0,0,42,0
1,0,0,42,0,0,0,1,21,0
0,0,1,21,0,1,0,1,16,0
1,0,1,16,0,0,0,3,7,4
0,0,3,7,4,0,0,1,29,25
0,0,1,29,25,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,9,5,54,2784,1274
9,5,54,2784,1274,0,0,0,0,0
0,0,0,0,0,0,0,2,8,11
0,0,2,8,11,0,0,0,0,0
0,0,0,0,0,0,0,1,16,11
0,0,1,16,11,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,3,3
0,0,2,3,3,0,0,2,4,2
0,0,2,4,2,0,0,1,6,5
0,0,1,6,5,4,1,36,652,216
4,1,36,652,216,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,2,5,2
0,0,2,5,2,0,0,2,2,2
0,0,2,2,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,17,232,123
3,0,17,232,123,1,0,1,7,2
1,0,1,7,2,0,1,1,3,0
0,1,1,3,0,0,1,0,0,52
0,1,0,0,52,0,0,1,24,6
0,0,1,24,6,0,0,2,6,2
0,0,2,6,2,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,11,0,81,3986,744
11,0,81,3986,744,0,0,0,0,0
0,0,0,0,0,3,0,11,764,138
3,0,11,764,138,1,0,15,536,27
1,0,15,536,27,0,0,0,0,0
0,0,0,0,0,0,0,11,109,31
0,0,11,109,31,0,0,0,0,0
0,0,0,0,0,1,0,0,26,0
1,0,0,26,0,0,0,1,14,0
0,0,1,14,0,1,0,0,9,0
1,0,0,9,0,0,0,1,2,2
0,0,1,2,2,0,0,2,2,2
0,0,2,2,2,0,0,1,0,0
0,0,1,0,0,0,0,2,2,1
0,0,2,2,1,0,0,3,5,5
0,0,3,5,5,0,0,1,2,4
0,0,1,2,4,2,1,46,817,215
2,1,46,817,215,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,3,8,5
0,0,3,8,5,0,0,0,0,0
0,0,0,0,0,0,0,18,285,82
0,0,18,285,82,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,3,5,4
1,0,3,5,4,0,0,0,0,0
0,0,0,0,0,0,0,23,265,122
0,0,23,265,122,0,0,0,0,0
0,0,0,0,0,0,0,1,4,1
0,0,1,4,1,0,0,1,6,1
0,0,1,6,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,28,138,64
0,0,28,138,64,0,0,0,0,0
0,0,0,0,0,2,0,7,706,44
2,0,7,706,44,0,0,1,0,0
0,0,1,0,0,0,0,3,45,1
0,0,3,45,1,0,0,2,2,0
0,0,2,2,0,0,0,0,0,0
0,0,0,0,0,0,0,1,4,2
0,0,1,4,2,0,0,1,6,0
0,0,1,6,0,0,0,1,0,0
0,0,1,0,0,0,0,1,2,2
0,0,1,2,2,0,0,2,6,2
0,0,2,6,2,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,3,0,22,514,293
3,0,22,514,293,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,5,2
0,0,1,5,2,0,0,1,2,0
0,0,1,2,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,2,2,2
0,0,2,2,2,0,0,1,2,2
0,0,1,2,2,0,0,0,0,0
0,0,0,0,0,0,0,1,2,0
0,0,1,2,0,0,0,0,0,0
0,0,0,0,0,2,0,0,33,0
2,0,0,33,0,0,0,1,7,0
0,0,1,7,0,0,0,2,22,5
0,0,2,22,5,0,0,1,4,1
0,0,1,4,1,0,0,1,2,2
0,0,1,2,2,0,0,1,1,2
0,0,1,1,2,0,0,2,32,2
0,0,2,32,2,0,0,1,4,4
0,0,1,4,4,0,0,2,7,1
0,0,2,7,1,0,0,2,26,24
0,0,2,26,24,1,0,1,83,2
1,0,1,83,2,0,0,0,0,0
0,0,0,0,0,0,0,2,9,2
0,0,2,9,2,1,0,0,101,0
1,0,0,101,0,0,0,0,0,0
0,0,0,0,0,0,0,1,3,3
0,0,1,3,3,0,0,6,147,23
0,0,6,147,23,0,0,2,3,3
0,0,2,3,3,0,0,1,0,0
0,0,1,0,0,0,0,2,3,3
0,0,2,3,3,0,0,6,23,147
0,0,6,23,147,0,0,3,2,6
0,0,3,2,6,0,0,2,13,8
0,0,2,13,8,0,0,0,0,0
0,0,0,0,0,0,0,1,5,5
0,0,1,5,5,0,0,2,6,7
0,0,2,6,7,13,7,31,163,208
13,7,31,163,208,0,0,2,12,1
0,0,2,12,1,0,0,2,13,0
0,0,2,13,0,0,0,1,9,0
0,0,1,9,0,0,0,1,2,0
0,0,1,2,0,0,0,1,3,2
0,0,1,3,2,0,0,0,0,0
0,0,0,0,0,1,0,0,39,0
1,0,0,39,0,0,0,1,3,1
0,0,1,3,1,0,0,0,0,0
0,0,0,0,0,0,0,2,17,4
0,0,2,17,4,0,0,2,8,7
0,0,2,8,7,0,0,0,0,0
0,0,0,0,0,0,0,1,4,4
0,0,1,4,4,0,0,1,9,0
0,0,1,9,0,0,0,4,4,12
0,0,4,4,12,0,0,1,3,0
0,0,1,3,0,0,0,6,43,3
0,0,6,43,3,0,0,1,4,0
0,0,1,4,0,0,0,2,17,35
0,0,2,17,35,0,0,2,4,0
0,0,2,4,0,0,0,4,66,44
0,0,4,66,44,0,0,1,0,0
0,0,1,0,0,0,0,2,40,16
0,0,2,40,16,0,0,1,2,0
0,0,1,2,0,0,0,1,10,8
0,0,1,10,8,0,0,1,2,0
0,0,1,2,0,0,0,1,3,8
0,0,1,3,8,0,0,1,6,4
0,0,1,6,4,0,0,0,0,0
0,0,0,0,0,0,0,2,32,0
0,0,2,32,0,0,0,2,19,5
0,0,2,19,5,0,0,5,126,55
0,0,5,126,55,0,0,0,0,0
0,0,0,0,0,0,0,2,23,20
0,0,2,23,20,0,0,1,0,0
0,0,1,0,0,0,0,2,2,5
0,0,2,2,5,1,0,2,47,2
1,0,2,47,2,0,0,1,4,4
0,0,1,4,4,0,0,1,4,1
0,0,1,4,1,1,0,4,43,43
1,0,4,43,43,0,0,8,80,45
0,0,8,80,45,0,0,2,18,15
0,0,2,18,15,1,0,7,36,710
1,0,7,36,710,0,0,1,2,3
0,0,1,2,3,0,0,2,2,49
0,0,2,2,49,0,0,3,6,6
0,0,3,6,6,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,18,0
0,0,2,18,0,0,0,1,125,0
0,0,1,125,0,1,0,1,56,2
1,0,1,56,2,0,0,1,57,19
0,0,1,57,19,0,0,2,0,7
0,0,2,0,7,0,5,48,88,96
0,5,48,88,96,8,0,0,1998,0
8,0,0,1998,0,0,0,1,0,0
0,0,1,0,0,0,0,1,2,2
0,0,1,2,2,0,0,1,3,6
0,0,1,3,6,0,0,1,100,2
0,0,1,100,2,0,0,2,10,0
0,0,2,10,0,0,0,9,123,98
0,0,9,123,98,0,0,1,0,2
0,0,1,0,2,1,0,1,58,0
1,0,1,58,0,0,0,0,0,0
0,0,0,0,0,0,0,1,22,12
0,0,1,22,12,0,0,1,27,13
0,0,1,27,13,0,0,3,70,2
0,0,3,70,2,0,0,1,11,3
0,0,1,11,3,0,0,1,0,4
0,0,1,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,23,5
0,0,3,23,5,0,0,1,20,3
0,0,1,20,3,0,0,1,0,0
0,0,1,0,0,0,0,4,33,27
0,0,4,33,27,0,0,1,3,0
0,0,1,3,0,0,0,2,40,2
0,0,2,40,2,0,0,0,0,0
0,0,0,0,0,0,0,1,2,5
0,0,1,2,5,0,0,0,0,0
0,0,0,0,0,0,0,1,5,3
0,0,1,5,3,0,0,1,3,5
0,0,1,3,5,0,0,1,12,11
0,0,1,12,11,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,2,4,4
0,0,2,4,4,0,0,2,55,9
0,0,2,55,9,0,0,1,2,2
0,0,1,2,2,0,0,1,7,3
0,0,1,7,3,0,0,0,0,0
0,0,0,0,0,0,0,1,4,2
0,0,1,4,2,0,0,2,4,6
0,0,2,4,6,0,0,11,80,49
0,0,11,80,49,0,0,2,41,15
0,0,2,41,15,1,0,1,120,1
1,0,1,120,1,0,0,1,26,5
0,0,1,26,5,0,0,0,0,0
0,0,0,0,0,0,0,2,35,5
0,0,2,35,5,0,0,1,5,1
0,0,1,5,1,1,0,1,47,0
1,0,1,47,0,0,0,2,38,17
0,0,2,38,17,1,0,0,101,0
1,0,0,101,0,0,0,2,2,2
0,0,2,2,2,0,0,0,0,0
0,0,0,0,0,0,0,3,17,37
0,0,3,17,37,0,0,1,4,4
0,0,1,4,4,0,0,0,0,0
0,0,0,0,0,0,0,5,12,24
0,0,5,12,24,0,0,1,72,65
0,0,1,72,65,0,0,1,1,29
0,0,1,1,29,0,0,2,57,4
0,0,2,57,4,0,0,1,6,8
0,0,1,6,8,0,0,1,0,0
0,0,1,0,0,0,0,1,13,6
0,0,1,13,6,1,0,0,43,0
1,0,0,43,0,0,0,1,1,2
0,0,1,1,2,0,0,1,0,0
0,0,1,0,0,4,0,1,581,443
4,0,1,581,443,0,0,4,9,64
0,0,4,9,64,0,0,3,4,9
0,0,3,4,9,0,0,0,0,0
0,0,0,0,0,0,0,1,12,10
0,0,1,12,10,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,9,0
0,0,2,9,0,0,0,1,0,0
0,0,1,0,0,0,0,9,98,18
0,0,9,98,18,0,0,1,6,0
0,0,1,6,0,2,0,5,267,0
2,0,5,267,0,0,0,1,10,8
0,0,1,10,8,0,0,2,9,27
0,0,2,9,27,0,0,2,0,0
0,0,2,0,0,0,0,2,46,0
0,0,2,46,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,2,7,4
0,0,2,7,4,0,0,0,0,0
0,0,0,0,0,0,0,1,5,1
0,0,1,5,1,0,0,0,0,0
0,0,0,0,0,0,0,17,124,146
0,0,17,124,146,0,0,12,172,14
0,0,12,172,14,0,0,1,0,0
0,0,1,0,0,0,0,2,27,0
0,0,2,27,0,0,0,2,18,0
0,0,2,18,0,0,0,0,0,0
0,0,0,0,0,0,0,2,22,10
0,0,2,22,10,0,0,1,0,13
0,0,1,0,13,0,0,3,71,45
0,0,3,71,45,0,0,1,7,3
0,0,1,7,3,0,0,5,61,11
0,0,5,61,11,0,0,3,5,6
0,0,3,5,6,0,0,0,0,0
0,0,0,0,0,0,0,3,69,48
0,0,3,69,48,0,0,1,1,2
0,0,1,1,2,0,0,0,0,0
0,0,0,0,0,0,0,1,5,2
0,0,1,5,2,0,0,3,4,3
0,0,3,4,3,0,0,2,7,1
0,0,2,7,1,0,0,1,3,1
0,0,1,3,1,0,0,12,19,0
0,0,12,19,0,0,0,1,8,1
0,0,1,8,1,0,0,4,7,2
0,0,4,7,2,0,0,3,7,7
0,0,3,7,7,0,0,1,2,3
0,0,1,2,3,0,0,2,5,2
0,0,2,5,2,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,4,4
0,0,1,4,4,0,0,1,4,0
0,0,1,4,0,0,0,1,5,0
0,0,1,5,0,0,0,0,0,0
0,0,0,0,0,0,0,1,2,1
0,0,1,2,1,0,0,0,0,0
0,0,0,0,0,0,0,1,2,2
0,0,1,2,2,4,0,43,181,52
4,0,43,181,52,0,1,1,1,34
0,1,1,1,34,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,3,0
0,0,1,3,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,2,2
0,0,1,2,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,4,4
0,0,2,4,4,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,2,0,7,77,15
2,0,7,77,15,0,0,1,4,0
0,0,1,4,0,0,0,1,2,2
0,0,1,2,2,0,0,1,2,2
0,0,1,2,2,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,3,3
0,0,2,3,3,0,0,1,0,0
0,0,1,0,0,2,0,2,129,75
2,0,2,129,75,2,0,0,127,0
2,0,0,127,0,0,0,4,9,3
0,0,4,9,3,0,0,2,10,2
0,0,2,10,2,0,0,2,10,1
0,0,2,10,1,0,0,3,17,11
0,0,3,17,11,0,0,2,2,2
0,0,2,2,2,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,18,17
0,0,2,18,17,0,0,1,2,2
0,0,1,2,2,0,0,1,0,0
0,0,1,0,0,0,0,3,43,1
0,0,3,43,1,0,0,2,7,2
0,0,2,7,2,0,0,1,6,1
0,0,1,6,1,0,0,1,0,0
0,0,1,0,0,0,0,2,17,14
0,0,2,17,14,0,0,1,5,0
0,0,1,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,2,1
0,0,1,2,1,0,0,2,3,3
0,0,2,3,3,0,0,0,0,0
0,0,0,0,0,0,0,1,4,11
0,0,1,4,11,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,2,6,5
0,0,2,6,5,0,0,4,3,3
0,0,4,3,3,0,0,1,0,0
0,0,1,0,0,0,0,1,14,9
0,0,1,14,9,0,0,2,59,24
0,0,2,59,24,0,0,0,0,0
0,0,0,0,0,1,0,2,41,0
1,0,2,41,0,0,0,1,4,4
0,0,1,4,4,0,0,1,69,0
0,0,1,69,0,0,0,1,7,7
0,0,1,7,7,0,0,1,13,23
0,0,1,13,23,0,0,2,34,17
0,0,2,34,17,0,0,5,14,13
0,0,5,14,13,0,0,2,8,7
0,0,2,8,7,0,0,2,6,2
0,0,2,6,2,0,0,1,3,7
0,0,1,3,7,1,0,1,95,0
1,0,1,95,0,0,0,1,41,36
0,0,1,41,36,0,0,3,3,3
0,0,3,3,3,0,0,2,28,3
0,0,2,28,3,0,0,5,21,12
0,0,5,21,12,1,0,1,55,3
1,0,1,55,3,1,0,0,49,0
