new_files,deleted_files,modified_files,inserted_lines,deleted_lines,new_files_pred,deleted_files_pred,modified_files_pred,inserted_lines_pred,deleted_lines_pred
77,0,0,21275,0,1,0,5,53,5
1,0,5,53,5,1,0,6,958,912
1,0,6,958,912,1,0,0,11,0
1,0,0,11,0,0,0,6,149,153
0,0,6,149,153,0,0,6,116,29
0,0,6,116,29,0,0,2,11,14
0,0,2,11,14,0,0,1,6,3
0,0,1,6,3,0,0,1,46,4
0,0,1,46,4,0,0,1,3,3
0,0,1,3,3,0,0,3,34,8
0,0,3,34,8,0,0,2,13,5
0,0,2,13,5,0,0,3,18,11
0,0,3,18,11,0,0,7,59,61
0,0,7,59,61,0,0,1,11,13
0,0,1,11,13,0,0,4,10,13
0,0,4,10,13,0,0,1,58,45
0,0,1,58,45,0,0,1,0,6
0,0,1,0,6,0,0,2,21,3
0,0,2,21,3,0,0,6,49,69
0,0,6,49,69,0,0,1,2,0
0,0,1,2,0,0,0,1,3,1
0,0,1,3,1,0,0,4,41,64
0,0,4,41,64,0,0,1,6,2
0,0,1,6,2,0,0,1,10,6
0,0,1,10,6,0,0,1,31,2
0,0,1,31,2,0,0,1,21,29
0,0,1,21,29,0,0,1,2,0
0,0,1,2,0,0,0,1,2,2
0,0,1,2,2,0,0,3,40,26
0,0,3,40,26,0,0,2,40,12
0,0,2,40,12,0,0,1,3,5
0,0,1,3,5,0,0,1,16,6
0,0,1,16,6,0,0,2,202,165
0,0,2,202,165,0,0,3,17,9
0,0,3,17,9,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,6,7
0,0,1,6,7,0,0,1,0,0
0,0,1,0,0,0,0,3,15,4
0,0,3,15,4,1,0,15,164,44
1,0,15,164,44,0,0,23,180,191
0,0,23,180,191,0,0,3,12,1
0,0,3,12,1,0,0,1,0,0
0,0,1,0,0,0,0,1,13,11
0,0,1,13,11,0,0,3,12,1
0,0,3,12,1,0,0,1,11,0
0,0,1,11,0,0,0,2,11,44
0,0,2,11,44,2,0,0,364,0
2,0,0,364,0,0,0,2,9,2
0,0,2,9,2,1,0,2,296,98
1,0,2,296,98,6,0,3,915,110
6,0,3,915,110,0,1,0,0,196
0,1,0,0,196,1,0,5,462,14
1,0,5,462,14,0,0,2,64,4
0,0,2,64,4,5,0,8,1507,549
5,0,8,1507,549,0,0,2,177,5
0,0,2,177,5,0,0,3,31,19
0,0,3,31,19,0,1,1,0,124
0,1,1,0,124,0,0,2,57,50
0,0,2,57,50,0,0,2,158,153
0,0,2,158,153,1,0,13,235,81
1,0,13,235,81,0,0,5,139,101
0,0,5,139,101,0,0,10,80,51
0,0,10,80,51,2,0,9,115,0
2,0,9,115,0,0,0,6,162,83
0,0,6,162,83,0,0,5,120,3
0,0,5,120,3,0,0,3,151,145
0,0,3,151,145,2,0,0,1517,0
2,0,0,1517,0,0,0,5,134,5
0,0,5,134,5,0,0,5,50,12
0,0,5,50,12,0,0,4,87,106
0,0,4,87,106,1,0,5,183,16
1,0,5,183,16,0,0,5,28,13
0,0,5,28,13,0,0,5,319,96
0,0,5,319,96,0,0,1,1245,11
0,0,1,1245,11,0,0,3,144,36
0,0,3,144,36,0,0,1,36,24
0,0,1,36,24,6,5,30,1847,5001
6,5,30,1847,5001,0,0,2,1,2
0,0,2,1,2,0,0,5,28,32
0,0,5,28,32,0,0,4,247,222
0,0,4,247,222,0,0,5,31,21
0,0,5,31,21,0,0,3,17,10
0,0,3,17,10,0,0,3,37,41
0,0,3,37,41,0,0,1,5,0
0,0,1,5,0,0,0,5,469,139
0,0,5,469,139,0,0,1,43,41
0,0,1,43,41,0,0,7,190,69
0,0,7,190,69,0,0,1,79,9
0,0,1,79,9,0,0,1,109,9
0,0,1,109,9,0,0,1,10,0
0,0,1,10,0,0,0,14,293,136
0,0,14,293,136,1,0,1,94,2
1,0,1,94,2,0,0,6,275,61
0,0,6,275,61,0,0,1,0,0
0,0,1,0,0,0,2,0,0,0
0,2,0,0,0,0,0,3,24,4
0,0,3,24,4,1,0,16,547,339
1,0,16,547,339,0,0,3,109,86
0,0,3,109,86,0,0,2,10,18
0,0,2,10,18,0,0,6,129,87
0,0,6,129,87,1,0,14,1305,285
1,0,14,1305,285,0,0,5,156,21
0,0,5,156,21,0,0,2,19,32
0,0,2,19,32,0,0,5,17,14
0,0,5,17,14,0,0,9,478,201
0,0,9,478,201,0,2,10,259,323
0,2,10,259,323,0,0,1,0,0
0,0,1,0,0,0,0,1,147,195
0,0,1,147,195,0,0,5,6,7
0,0,5,6,7,0,0,4,17,10
0,0,4,17,10,1,0,8,1043,198
1,0,8,1043,198,0,0,8,104,87
0,0,8,104,87,0,0,7,18,26
0,0,7,18,26,2,0,0,300,0
2,0,0,300,0,0,0,7,69,127
0,0,7,69,127,0,0,4,64,23
0,0,4,64,23,0,0,12,295,314
0,0,12,295,314,14,0,7,3339,37
14,0,7,3339,37,0,0,1,16,11
0,0,1,16,11,0,0,1,7,7
0,0,1,7,7,0,0,2,6,3
0,0,2,6,3,0,0,1,3,1
0,0,1,3,1,0,0,1,2,2
0,0,1,2,2,0,0,2,6,8
0,0,2,6,8,0,0,5,152,77
0,0,5,152,77,0,0,4,117,85
0,0,4,117,85,2,1,5,1650,1245
2,1,5,1650,1245,0,0,6,432,184
0,0,6,432,184,0,0,3,123,3
0,0,3,123,3,0,0,3,184,98
0,0,3,184,98,0,0,4,60,34
0,0,4,60,34,0,0,1,13,12
0,0,1,13,12,0,0,2,24,2
0,0,2,24,2,0,0,7,52,37
0,0,7,52,37,0,0,9,297,240
0,0,9,297,240,0,0,3,240,5
0,0,3,240,5,0,0,2,28,0
0,0,2,28,0,0,0,4,12,16
0,0,4,12,16,1,0,0,39,0
